# HESS II Impact Angular Resolution (deg) Loose Mono - DOI: 10.22323/1.236.0826 
# Energy (TeV)	Angular Resolution (deg)
3.83e-02	2.14e-01
4.19e-02	2.16e-01
4.37e-02	2.16e-01
4.59e-02	2.17e-01
4.91e-02	2.17e-01
5.29e-02	2.18e-01
5.78e-02	2.17e-01
6.05e-02	2.17e-01
6.49e-02	2.15e-01
6.94e-02	2.13e-01
7.40e-02	2.11e-01
7.89e-02	2.09e-01
8.52e-02	2.06e-01
9.03e-02	2.05e-01
9.60e-02	2.03e-01
1.03e-01	2.02e-01
1.11e-01	2.01e-01
1.19e-01	1.99e-01
1.44e-01	1.94e-01
1.54e-01	1.92e-01
1.64e-01	1.89e-01
1.74e-01	1.87e-01
1.85e-01	1.84e-01
2.00e-01	1.81e-01
2.13e-01	1.78e-01
2.25e-01	1.75e-01
2.41e-01	1.71e-01
2.57e-01	1.68e-01
2.76e-01	1.64e-01
2.90e-01	1.61e-01
3.17e-01	1.58e-01
3.49e-01	1.56e-01
3.75e-01	1.54e-01
4.02e-01	1.53e-01
4.31e-01	1.52e-01
4.75e-01	1.51e-01
4.97e-01	1.49e-01
5.32e-01	1.48e-01
5.70e-01	1.47e-01
6.11e-01	1.45e-01
6.56e-01	1.44e-01
7.22e-01	1.42e-01
7.52e-01	1.42e-01
8.13e-01	1.42e-01
8.76e-01	1.42e-01
9.39e-01	1.42e-01
1.03e+00	1.41e-01
1.09e+00	1.42e-01
1.16e+00	1.44e-01
1.23e+00	1.46e-01
1.32e+00	1.49e-01
1.40e+00	1.51e-01
1.51e+00	1.53e-01
1.61e+00	1.56e-01
1.67e+00	1.56e-01
1.83e+00	1.58e-01
1.96e+00	1.59e-01
2.11e+00	1.60e-01
2.26e+00	1.62e-01
2.78e+00	1.66e-01
2.99e+00	1.67e-01
3.19e+00	1.69e-01
3.42e+00	1.70e-01
3.77e+00	1.74e-01
3.83e+00	1.80e-01
3.91e+00	1.84e-01
3.98e+00	1.89e-01
4.04e+00	1.93e-01
4.11e+00	1.97e-01
4.19e+00	2.02e-01
4.27e+00	2.06e-01
4.33e+00	2.10e-01
4.40e+00	2.14e-01
