# HESS II Impact Angular Resolution (deg) Safe Mono - DOI: 10.22323/1.236.0826 
# Energy (TeV)	Angular Resolution (deg)
3.84e-02	2.78e-01
3.97e-02	2.75e-01
4.00e-02	2.73e-01
4.09e-02	2.69e-01
4.19e-02	2.65e-01
4.29e-02	2.60e-01
4.40e-02	2.56e-01
4.51e-02	2.52e-01
4.62e-02	2.48e-01
4.72e-02	2.44e-01
4.82e-02	2.40e-01
4.95e-02	2.35e-01
5.07e-02	2.31e-01
5.19e-02	2.27e-01
5.31e-02	2.23e-01
5.44e-02	2.19e-01
5.57e-02	2.14e-01
5.71e-02	2.10e-01
6.20e-02	1.98e-01
6.39e-02	1.94e-01
6.58e-02	1.90e-01
6.79e-02	1.86e-01
6.98e-02	1.82e-01
7.21e-02	1.78e-01
7.44e-02	1.73e-01
7.64e-02	1.70e-01
7.89e-02	1.65e-01
8.13e-02	1.61e-01
8.37e-02	1.57e-01
8.72e-02	1.52e-01
9.98e-02	1.47e-01
1.03e-01	1.47e-01
1.10e-01	1.46e-01
1.17e-01	1.44e-01
1.28e-01	1.43e-01
1.45e-01	1.42e-01
1.56e-01	1.42e-01
1.69e-01	1.41e-01
1.81e-01	1.41e-01
1.99e-01	1.41e-01
2.24e-01	1.39e-01
2.39e-01	1.37e-01
2.56e-01	1.35e-01
2.74e-01	1.34e-01
2.98e-01	1.31e-01
3.37e-01	1.29e-01
3.62e-01	1.28e-01
3.89e-01	1.27e-01
4.18e-01	1.26e-01
4.56e-01	1.25e-01
5.15e-01	1.22e-01
5.52e-01	1.21e-01
5.92e-01	1.19e-01
6.33e-01	1.18e-01
6.87e-01	1.16e-01
7.83e-01	1.14e-01
8.39e-01	1.13e-01
9.00e-01	1.12e-01
9.67e-01	1.11e-01
1.06e+00	1.10e-01
1.20e+00	1.08e-01
1.29e+00	1.07e-01
1.38e+00	1.07e-01
1.49e+00	1.06e-01
1.69e+00	1.05e-01
1.85e+00	1.06e-01
1.98e+00	1.06e-01
2.13e+00	1.07e-01
2.32e+00	1.08e-01
2.67e+00	1.13e-01
2.84e+00	1.16e-01
3.07e+00	1.21e-01
3.28e+00	1.25e-01
3.50e+00	1.28e-01
3.68e+00	1.32e-01
3.89e+00	1.35e-01
4.18e+00	1.41e-01
4.41e+00	1.44e-01
4.64e+00	1.48e-01
4.86e+00	1.51e-01
5.13e+00	1.55e-01
5.46e+00	1.59e-01
6.01e+00	1.67e-01
