# HESS II Impact Angular Resolution (deg) Std Mono - DOI: 10.22323/1.236.0826 
# Energy (TeV)	Angular Resolution (deg)
3.83e-02	2.08e-01
4.06e-02	2.03e-01
4.25e-02	1.99e-01
4.42e-02	1.95e-01
4.60e-02	1.91e-01
4.79e-02	1.87e-01
5.00e-02	1.84e-01
5.19e-02	1.80e-01
5.41e-02	1.76e-01
5.75e-02	1.71e-01
6.53e-02	1.66e-01
6.84e-02	1.65e-01
7.21e-02	1.64e-01
7.71e-02	1.62e-01
8.31e-02	1.60e-01
1.02e-01	1.59e-01
1.10e-01	1.59e-01
1.18e-01	1.59e-01
1.29e-01	1.59e-01
1.44e-01	1.59e-01
1.54e-01	1.57e-01
1.61e-01	1.57e-01
1.70e-01	1.56e-01
1.81e-01	1.55e-01
1.96e-01	1.54e-01
2.26e-01	1.50e-01
2.39e-01	1.49e-01
2.55e-01	1.47e-01
2.72e-01	1.45e-01
2.94e-01	1.43e-01
3.59e-01	1.40e-01
3.86e-01	1.40e-01
4.16e-01	1.39e-01
4.53e-01	1.38e-01
5.14e-01	1.36e-01
5.49e-01	1.34e-01
5.89e-01	1.33e-01
6.30e-01	1.31e-01
7.81e-01	1.29e-01
8.37e-01	1.29e-01
9.02e-01	1.30e-01
9.70e-01	1.30e-01
1.11e+00	1.32e-01
1.18e+00	1.35e-01
1.25e+00	1.38e-01
1.33e+00	1.41e-01
1.42e+00	1.44e-01
1.50e+00	1.47e-01
1.68e+00	1.51e-01
1.78e+00	1.53e-01
1.90e+00	1.54e-01
2.03e+00	1.56e-01
2.18e+00	1.58e-01
2.37e+00	1.59e-01
2.60e+00	1.63e-01
2.77e+00	1.65e-01
2.93e+00	1.67e-01
3.10e+00	1.69e-01
3.27e+00	1.71e-01
3.47e+00	1.73e-01
3.67e+00	1.76e-01
3.84e+00	1.83e-01
3.94e+00	1.87e-01
4.03e+00	1.91e-01
4.11e+00	1.95e-01
4.20e+00	2.00e-01
4.30e+00	2.04e-01
4.39e+00	2.08e-01
4.49e+00	2.13e-01
4.59e+00	2.17e-01
