# HESS II Impact Angular Resolution (deg) Stereo - DOI: 10.22323/1.236.0826 
# Energy (TeV)	Angular Resolution (deg)
1.46e-01	1.08e-01
1.55e-01	1.05e-01
1.65e-01	1.03e-01
1.75e-01	1.01e-01
1.87e-01	9.81e-02
2.01e-01	9.57e-02
2.07e-01	9.35e-02
2.22e-01	9.14e-02
2.36e-01	8.92e-02
2.50e-01	8.69e-02
2.63e-01	8.49e-02
2.78e-01	8.29e-02
2.96e-01	7.97e-02
3.31e-01	7.66e-02
3.49e-01	7.49e-02
3.71e-01	7.30e-02
3.96e-01	7.09e-02
4.22e-01	6.89e-02
4.56e-01	6.67e-02
5.15e-01	6.34e-02
5.52e-01	6.17e-02
5.92e-01	6.01e-02
6.31e-01	5.85e-02
6.88e-01	5.62e-02
7.83e-01	5.49e-02
8.39e-01	5.42e-02
9.00e-01	5.35e-02
9.70e-01	5.28e-02
1.06e+00	5.17e-02
1.11e+00	5.16e-02
1.21e+00	5.08e-02
1.30e+00	5.02e-02
1.39e+00	4.96e-02
1.51e+00	4.90e-02
1.62e+00	4.79e-02
1.71e+00	4.83e-02
1.86e+00	4.79e-02
2.00e+00	4.79e-02
2.16e+00	4.77e-02
2.34e+00	4.75e-02
2.48e+00	4.77e-02
2.68e+00	4.63e-02
2.88e+00	4.55e-02
3.09e+00	4.46e-02
3.32e+00	4.37e-02
3.64e+00	4.25e-02
3.81e+00	4.31e-02
4.13e+00	4.23e-02
4.44e+00	4.23e-02
4.77e+00	4.21e-02
5.15e+00	4.21e-02
5.59e+00	4.17e-02
5.89e+00	4.16e-02
