# HESS II Impact Effective Area (m2) Loose Mono - DOI: 10.22323/1.236.0826 
# Energy (TeV)	Effective Area (m2)
2.70e-02	5.30e+03
2.81e-02	6.05e+03
2.94e-02	7.11e+03
3.06e-02	8.05e+03
3.18e-02	9.12e+03
3.28e-02	1.01e+04
3.51e-02	1.15e+04
3.78e-02	1.33e+04
4.04e-02	1.53e+04
4.35e-02	1.77e+04
4.71e-02	2.07e+04
5.04e-02	2.33e+04
5.60e-02	2.64e+04
6.37e-02	3.07e+04
7.20e-02	3.51e+04
8.42e-02	4.06e+04
1.06e-01	4.87e+04
1.31e-01	5.39e+04
1.80e-01	6.07e+04
2.48e-01	6.79e+04
3.56e-01	7.43e+04
5.79e-01	8.00e+04
1.02e+00	8.05e+04
1.67e+00	7.55e+04
2.21e+00	6.67e+04
3.02e+00	5.95e+04
4.44e+00	5.23e+04
5.53e+00	4.87e+04
