# HESS II Impact Effective Area (m2) Safe Mono - DOI: 10.22323/1.236.0826 
# Energy (TeV)	Effective Area (m2)
4.97e-02	3.42e+02
5.10e-02	3.93e+02
5.22e-02	4.54e+02
5.35e-02	5.24e+02
5.49e-02	6.12e+02
5.64e-02	7.11e+02
5.78e-02	8.23e+02
5.93e-02	9.57e+02
6.09e-02	1.12e+03
6.24e-02	1.29e+03
6.39e-02	1.49e+03
6.57e-02	1.74e+03
6.75e-02	2.02e+03
6.93e-02	2.36e+03
7.10e-02	2.72e+03
7.44e-02	3.53e+03
7.79e-02	4.17e+03
8.11e-02	4.78e+03
8.44e-02	5.48e+03
8.81e-02	6.30e+03
9.17e-02	7.21e+03
9.50e-02	8.16e+03
9.91e-02	9.39e+03
1.03e-01	1.07e+04
1.09e-01	1.31e+04
1.17e-01	1.52e+04
1.29e-01	1.76e+04
1.46e-01	2.12e+04
1.67e-01	2.49e+04
1.90e-01	2.87e+04
2.37e-01	3.31e+04
3.19e-01	3.77e+04
5.60e-01	4.33e+04
8.13e-01	4.59e+04
1.12e+00	4.40e+04
1.36e+00	4.36e+04
1.77e+00	3.88e+04
2.13e+00	3.36e+04
2.86e+00	2.96e+04
3.48e+00	2.55e+04
4.73e+00	2.19e+04
5.54e+00	1.99e+04
