# HESS II Impact Effective Area (m2) Std Mono - DOI: 10.22323/1.236.0826 
# Energy (TeV)	Effective Area (m2)
3.22e-02	2.32e+02
3.29e-02	2.66e+02
3.41e-02	3.28e+02
3.46e-02	3.56e+02
3.55e-02	4.12e+02
3.64e-02	4.77e+02
3.73e-02	5.55e+02
3.83e-02	6.45e+02
3.93e-02	7.48e+02
4.03e-02	8.71e+02
4.13e-02	1.01e+03
4.24e-02	1.17e+03
4.36e-02	1.37e+03
4.46e-02	1.58e+03
4.59e-02	1.84e+03
4.70e-02	2.12e+03
4.86e-02	2.53e+03
4.98e-02	2.92e+03
5.21e-02	3.42e+03
5.37e-02	3.81e+03
5.56e-02	4.33e+03
5.77e-02	4.96e+03
5.99e-02	5.69e+03
6.24e-02	6.56e+03
6.46e-02	7.47e+03
6.72e-02	8.63e+03
6.98e-02	9.89e+03
7.24e-02	1.14e+04
7.59e-02	1.30e+04
8.36e-02	1.58e+04
8.94e-02	1.79e+04
9.60e-02	2.06e+04
1.03e-01	2.37e+04
1.07e-01	2.56e+04
1.18e-01	2.93e+04
1.46e-01	3.52e+04
1.68e-01	3.96e+04
2.05e-01	4.50e+04
3.21e-01	5.43e+04
4.97e-01	6.07e+04
7.69e-01	6.52e+04
1.14e+00	6.48e+04
1.33e+00	6.60e+04
1.79e+00	5.85e+04
2.47e+00	5.09e+04
3.81e+00	4.23e+04
5.18e+00	3.93e+04
