# HESS II Impact Effective Area (m2) Stereo - DOI: 10.22323/1.236.0826 
# Energy (TeV)	Effective Area (m2)
7.48e-02	1.48e+01
7.61e-02	1.84e+01
7.74e-02	2.14e+01
8.16e-02	3.68e+01
8.25e-02	4.06e+01
8.36e-02	4.67e+01
8.47e-02	5.34e+01
9.03e-02	1.02e+02
9.15e-02	1.18e+02
9.32e-02	1.40e+02
9.91e-02	2.60e+02
1.01e-01	3.04e+02
1.02e-01	3.49e+02
1.04e-01	4.09e+02
1.09e-01	6.66e+02
1.10e-01	7.65e+02
1.12e-01	9.03e+02
1.21e-01	1.42e+03
1.24e-01	1.66e+03
1.33e-01	2.59e+03
1.37e-01	3.05e+03
1.44e-01	4.13e+03
1.47e-01	4.73e+03
1.58e-01	7.45e+03
1.63e-01	8.73e+03
1.69e-01	1.10e+04
1.79e-01	1.34e+04
1.93e-01	1.75e+04
2.00e-01	2.00e+04
2.16e-01	2.62e+04
2.32e-01	3.40e+04
2.41e-01	3.89e+04
2.59e-01	4.81e+04
2.98e-01	5.78e+04
3.62e-01	7.29e+04
4.12e-01	8.37e+04
5.86e-01	1.08e+05
7.75e-01	1.25e+05
9.02e-01	1.34e+05
1.27e+00	1.61e+05
1.86e+00	1.83e+05
2.59e+00	1.81e+05
3.78e+00	1.87e+05
5.36e+00	1.98e+05
