# HESS II Impact Energy Bias Loose Mono - DOI: 10.22323/1.236.0826 
# Energy (TeV)	Energy Bias
3.75e-02	2.15e-01
3.90e-02	2.01e-01
4.28e-02	1.81e-01
4.57e-02	1.67e-01
4.95e-02	1.50e-01
5.24e-02	1.39e-01
5.49e-02	1.30e-01
6.32e-02	1.11e-01
7.22e-02	9.34e-02
8.19e-02	7.69e-02
1.11e-01	5.51e-02
1.51e-01	3.22e-02
1.92e-01	2.70e-02
2.77e-01	9.04e-03
3.34e-01	-4.65e-03
4.23e-01	-2.22e-02
4.77e-01	-3.18e-02
5.97e-01	-4.63e-02
7.31e-01	-5.97e-02
8.97e-01	-7.62e-02
1.16e+00	-9.49e-02
1.37e+00	-1.06e-01
2.03e+00	-1.24e-01
3.06e+00	-1.34e-01
3.76e+00	-1.18e-01
4.23e+00	-1.03e-01
4.73e+00	-9.29e-02
5.24e+00	-7.69e-02
6.02e+00	-6.60e-02
