# HESS II Impact Energy Bias Safe Mono - DOI: 10.22323/1.236.0826 
# Energy (TeV)	Energy Bias
5.32e-02	4.90e-01
5.51e-02	4.72e-01
5.61e-02	4.64e-01
5.75e-02	4.50e-01
5.86e-02	4.37e-01
6.01e-02	4.23e-01
6.16e-02	4.08e-01
6.30e-02	3.94e-01
6.44e-02	3.81e-01
6.66e-02	3.61e-01
6.78e-02	3.52e-01
6.93e-02	3.39e-01
7.08e-02	3.25e-01
7.26e-02	3.11e-01
7.51e-02	2.89e-01
7.94e-02	2.70e-01
8.21e-02	2.57e-01
8.49e-02	2.45e-01
8.81e-02	2.31e-01
9.13e-02	2.18e-01
9.44e-02	2.06e-01
9.76e-02	1.93e-01
1.03e-01	1.72e-01
1.08e-01	1.60e-01
1.17e-01	1.42e-01
1.24e-01	1.28e-01
1.33e-01	1.14e-01
1.45e-01	9.47e-02
1.55e-01	8.29e-02
1.77e-01	7.09e-02
2.03e-01	5.78e-02
2.30e-01	4.57e-02
2.87e-01	2.91e-02
3.43e-01	1.69e-02
4.35e-01	-8.49e-04
5.43e-01	-1.67e-02
6.18e-01	-2.70e-02
7.82e-01	-3.93e-02
9.36e-01	-5.28e-02
1.31e+00	-7.07e-02
1.88e+00	-8.19e-02
2.27e+00	-9.09e-02
3.34e+00	-9.07e-02
4.41e+00	-1.05e-01
4.93e+00	-1.09e-01
