# HESS II Impact Energy Bias Std Mono - DOI: 10.22323/1.236.0826 
# Energy (TeV)	Energy Bias
4.27e-02	4.97e-01
4.37e-02	4.82e-01
4.47e-02	4.68e-01
4.57e-02	4.54e-01
4.69e-02	4.40e-01
4.80e-02	4.26e-01
4.92e-02	4.11e-01
5.03e-02	3.98e-01
5.14e-02	3.82e-01
5.29e-02	3.65e-01
5.52e-02	3.50e-01
5.70e-02	3.35e-01
5.89e-02	3.21e-01
6.08e-02	3.08e-01
6.27e-02	2.95e-01
6.48e-02	2.81e-01
6.66e-02	2.69e-01
6.89e-02	2.55e-01
7.12e-02	2.42e-01
7.51e-02	2.18e-01
7.94e-02	2.03e-01
8.30e-02	1.91e-01
8.66e-02	1.79e-01
9.03e-02	1.67e-01
9.41e-02	1.55e-01
9.82e-02	1.43e-01
1.05e-01	1.26e-01
1.13e-01	1.12e-01
1.26e-01	9.67e-02
1.41e-01	8.14e-02
1.58e-01	6.77e-02
1.90e-01	5.42e-02
2.28e-01	4.04e-02
2.72e-01	2.65e-02
3.36e-01	1.09e-02
4.15e-01	-1.22e-03
4.82e-01	-1.45e-02
5.76e-01	-2.73e-02
7.01e-01	-3.25e-02
9.53e-01	-5.39e-02
1.12e+00	-6.90e-02
1.29e+00	-8.07e-02
1.69e+00	-9.39e-02
2.12e+00	-1.05e-01
3.32e+00	-9.97e-02
4.13e+00	-8.63e-02
4.98e+00	-7.38e-02
6.06e+00	-6.06e-02
