# HESS II Impact Energy Resolution Loose Mono - DOI: 10.22323/1.236.0826 
# Energy (TeV)	Energy Resolution
3.73e-02	3.05e-01
4.30e-02	3.01e-01
6.59e-02	2.92e-01
8.53e-02	2.90e-01
1.02e-01	2.90e-01
1.35e-01	2.78e-01
1.52e-01	2.73e-01
1.83e-01	2.68e-01
2.43e-01	2.62e-01
3.28e-01	2.54e-01
4.97e-01	2.46e-01
5.54e-01	2.46e-01
9.22e-01	2.45e-01
1.22e+00	2.39e-01
1.56e+00	2.25e-01
1.76e+00	2.23e-01
1.92e+00	2.26e-01
2.43e+00	2.33e-01
2.56e+00	2.40e-01
2.70e+00	2.46e-01
2.85e+00	2.52e-01
3.02e+00	2.59e-01
3.15e+00	2.63e-01
3.27e+00	2.68e-01
3.45e+00	2.75e-01
3.76e+00	2.82e-01
4.01e+00	2.88e-01
4.25e+00	2.94e-01
4.56e+00	3.01e-01
5.12e+00	3.04e-01
