# HESS II Impact Energy Resolution Safe Mono - DOI: 10.22323/1.236.0826 
# Energy (TeV)	Energy Resolution
7.60e-02	2.04e-01
8.75e-02	2.12e-01
1.05e-01	2.25e-01
1.23e-01	2.23e-01
1.31e-01	2.23e-01
1.80e-01	2.25e-01
2.19e-01	2.25e-01
2.97e-01	2.16e-01
3.58e-01	2.17e-01
4.79e-01	2.12e-01
5.84e-01	2.04e-01
7.08e-01	2.10e-01
9.04e-01	2.14e-01
1.06e+00	2.09e-01
1.23e+00	2.04e-01
1.57e+00	1.98e-01
1.95e+00	1.93e-01
2.34e+00	1.87e-01
2.72e+00	2.04e-01
2.85e+00	2.10e-01
2.97e+00	2.16e-01
3.12e+00	2.22e-01
3.36e+00	2.31e-01
3.65e+00	2.41e-01
3.89e+00	2.48e-01
4.09e+00	2.53e-01
4.80e+00	2.68e-01
5.50e+00	2.62e-01
