# HESS II Impact Energy Resolution Std Mono - DOI: 10.22323/1.236.0826 
# Energy (TeV)	Energy Resolution
7.58e-02	2.29e-01
9.01e-02	2.39e-01
1.11e-01	2.47e-01
1.29e-01	2.46e-01
2.11e-01	2.43e-01
2.84e-01	2.36e-01
3.79e-01	2.30e-01
5.33e-01	2.26e-01
6.62e-01	2.28e-01
8.79e-01	2.32e-01
1.10e+00	2.27e-01
1.27e+00	2.22e-01
1.77e+00	2.08e-01
1.98e+00	2.08e-01
2.56e+00	2.19e-01
2.65e+00	2.25e-01
2.75e+00	2.31e-01
2.86e+00	2.36e-01
2.98e+00	2.42e-01
3.09e+00	2.48e-01
3.64e+00	2.70e-01
3.82e+00	2.76e-01
4.01e+00	2.82e-01
4.21e+00	2.88e-01
4.38e+00	2.93e-01
4.51e+00	2.98e-01
5.04e+00	3.01e-01
